iter	Passed	Remaining
380	1698	2759
381	1702	2754
382	1707	2751
383	1712	2747
384	1716	2741
385	1720	2736
386	1724	2730
387	1730	2729
388	1734	2724
389	1740	2721
390	1745	2718
391	1749	2713
392	1753	2707
393	1757	2702
394	1761	2698
395	1765	2692
396	1769	2687
397	1773	2681
398	1778	2679
399	1782	2673
400	1785	2667
401	1790	2663
402	1795	2659
403	1802	2659
404	1809	2658
405	1813	2652
406	1816	2646
407	1819	2640
408	1824	2636
409	1828	2631
410	1832	2626
411	1836	2620
412	1841	2617
413	1845	2611
414	1848	2606
415	1853	2601
416	1857	2597
417	1861	2591
418	1865	2586
419	1870	2582
420	1876	2580
421	1879	2574
422	1884	2571
423	1893	2572
424	1899	2570
425	1903	2564
426	1909	2561
427	1912	2556
428	1916	2550
429	1919	2545
430	1924	2540
431	1928	2536
432	1932	2530
433	1935	2524
434	1941	2522
435	1946	2517
436	1952	2514
437	1956	2510
438	1961	2506
439	1965	2502
440	1970	2498
441	1975	2493
442	1978	2488
443	1983	2483
444	1987	2479
445	1992	2475
446	1997	2471
447	2002	2467
448	2006	2462
449	2010	2456
450	2013	2451
451	2017	2446
452	2022	2441
453	2026	2436
454	2029	2431
455	2035	2428
456	2040	2424
457	2046	2421
458	2052	2419
459	2056	2414
460	2060	2409
461	2064	2403
462	2068	2399
463	2073	2394
464	2076	2389
465	2081	2385
466	2086	2381
467	2090	2376
468	2095	2372
469	2099	2367
470	2104	2363
471	2107	2357
472	2111	2352
473	2116	2348
474	2120	2344
475	2124	2338
476	2128	2334
477	2133	2329
478	2137	2325
479	2141	2319
480	2145	2315
481	2150	2311
482	2154	2306
483	2158	2300
484	2161	2295
485	2167	2292
486	2170	2286
487	2174	2281
488	2179	2277
489	2184	2273
490	2190	2270
491	2194	2265
492	2198	2261
493	2202	2256
494	2207	2251
495	2210	2246
496	2215	2241
497	2219	2237
498	2223	2232
499	2230	2230
500	2236	2227
501	2240	2222
502	2243	2216
503	2248	2213
504	2252	2207
505	2256	2203
506	2260	2198
507	2264	2193
508	2269	2188
509	2272	2183
510	2277	2179
511	2282	2175
512	2288	2172
513	2291	2166
514	2296	2163
515	2301	2158
516	2307	2155
517	2312	2151
518	2315	2146
519	2320	2141
520	2324	2136
521	2329	2133
522	2333	2127
523	2337	2123
524	2341	2118
525	2345	2113
526	2350	2109
527	2354	2104
528	2357	2098
529	2362	2095
530	2366	2090
531	2371	2085
532	2378	2083
533	2386	2082
534	2392	2079
535	2396	2074
536	2399	2069
537	2404	2064
538	2409	2060
539	2412	2055
540	2416	2050
541	2420	2045
542	2425	2041
543	2429	2036
544	2433	2031
545	2437	2026
546	2443	2023
547	2446	2018
548	2450	2012
549	2454	2008
550	2459	2004
551	2463	1999
552	2467	1994
553	2471	1989
554	2479	1987
555	2487	1986
556	2493	1982
557	2497	1978
558	2501	1973
559	2506	1969
560	2510	1964
561	2514	1959
562	2518	1954
563	2523	1950
564	2527	1945
565	2530	1940
566	2534	1935
567	2540	1931
568	2543	1926
569	2548	1922
570	2551	1917
571	2556	1912
572	2560	1907
573	2563	1902
574	2568	1898
575	2572	1893
576	2576	1888
577	2580	1884
578	2584	1879
579	2590	1875
580	2594	1871
581	2598	1866
582	2604	1862
583	2607	1857
584	2612	1853
585	2619	1850
586	2624	1846
587	2628	1841
588	2632	1836
589	2637	1833
590	2641	1828
591	2645	1823
592	2649	1818
593	2653	1813
594	2658	1809
595	2661	1804
596	2665	1799
597	2670	1795
598	2674	1790
599	2679	1786
600	2683	1781
601	2688	1777
602	2693	1773
603	2697	1768
604	2703	1764
605	2707	1759
606	2710	1755
607	2716	1751
608	2720	1746
609	2724	1742
610	2728	1736
611	2733	1733
612	2737	1728
613	2741	1723
614	2745	1718
615	2750	1714
616	2753	1709
617	2757	1704
618	2761	1699
619	2767	1696
620	2772	1691
621	2777	1688
622	2786	1686
623	2792	1682
624	2798	1679
625	2802	1674
626	2808	1670
627	2814	1667
628	2819	1663
629	2823	1658
630	2826	1652
631	2831	1648
632	2835	1643
633	2841	1640
634	2847	1636
635	2853	1632
636	2858	1629
637	2866	1626
638	2872	1622
639	2876	1617
640	2884	1615
641	2892	1612
642	2898	1609
643	2902	1604
644	2907	1600
645	2914	1597
646	2918	1592
647	2923	1588
648	2929	1584
649	2934	1580
650	2938	1575
651	2943	1571
652	2947	1566
653	2952	1562
654	2957	1557
655	2963	1553
656	2967	1549
657	2972	1545
658	2979	1541
659	2984	1537
660	2988	1532
661	2993	1528
662	2997	1523
663	3001	1518
664	3004	1513
665	3010	1510
666	3014	1505
667	3019	1500
668	3023	1496
669	3028	1491
670	3031	1486
671	3036	1481
672	3040	1477
673	3044	1472
674	3048	1467
675	3052	1462
676	3057	1458
677	3061	1453
678	3064	1448
679	3069	1444
680	3073	1439
681	3079	1435
682	3083	1431
683	3089	1427
684	3093	1422
685	3097	1417
686	3100	1412
687	3109	1410
688	3113	1405
689	3116	1400
690	3122	1396
691	3125	1391
692	3130	1386
693	3133	1381
694	3138	1377
695	3142	1372
696	3145	1367
697	3149	1362
698	3154	1358
699	3158	1353
700	3163	1349
701	3166	1344
702	3172	1340
703	3177	1335
704	3181	1331
705	3186	1326
706	3191	1322
707	3194	1317
708	3198	1312
709	3203	1308
710	3208	1304
711	3213	1299
712	3220	1296
713	3224	1291
714	3229	1287
715	3235	1283
716	3240	1278
717	3245	1274
718	3249	1269
719	3253	1265
720	3258	1260
721	3263	1256
722	3268	1252
723	3272	1247
724	3278	1243
725	3284	1239
726	3289	1235
727	3292	1230
728	3298	1226
729	3301	1221
730	3307	1216
731	3311	1212
732	3318	1208
733	3321	1203
734	3326	1199
735	3332	1195
736	3338	1191
737	3343	1186
738	3350	1183
739	3354	1178
740	3359	1174
741	3364	1169
742	3369	1165
743	3373	1160
744	3379	1156
745	3384	1152
746	3388	1147
747	3394	1143
748	3401	1139
749	3404	1134
750	3408	1130
751	3413	1125
752	3418	1121
753	3423	1116
754	3428	1112
755	3434	1108
756	3438	1103
757	3442	1099
758	3448	1094
759	3453	1090
760	3458	1086
761	3465	1082
762	3473	1078
763	3480	1075
764	3483	1070
765	3487	1065
766	3492	1060
767	3497	1056
768	3501	1051
769	3504	1046
770	3509	1042
771	3513	1037
772	3517	1033
773	3521	1028
774	3526	1023
775	3531	1019
776	3536	1014
777	3541	1010
778	3545	1005
779	3550	1001
780	3555	996
781	3562	993
782	3569	989
783	3576	985
784	3582	981
785	3586	976
786	3593	972
787	3599	968
788	3604	964
789	3610	959
790	3615	955
791	3620	950
792	3627	946
793	3632	942
794	3638	938
795	3643	933
796	3648	929
797	3652	924
798	3660	920
799	3665	916
800	3669	911
801	3674	907
802	3679	902
803	3682	897
804	3688	893
805	3692	888
806	3696	884
807	3700	879
808	3706	875
809	3709	870
810	3714	865
811	3717	860
812	3723	856
813	3728	851
814	3733	847
815	3738	843
816	3743	838
817	3748	834
818	3752	829
819	3758	825
820	3763	820
821	3767	815
822	3773	811
823	3777	806
824	3782	802
825	3787	797
826	3792	793
827	3798	789
828	3804	784
829	3809	780
830	3814	775
831	3821	771
832	3826	767
833	3831	762
834	3837	758
835	3844	754
836	3848	749
837	3856	745
838	3863	741
839	3870	737
840	3877	733
841	3885	729
842	3890	724
843	3894	719
844	3902	715
845	3906	711
846	3910	706
847	3916	701
848	3919	697
849	3924	692
850	3927	687
851	3934	683
852	3939	678
853	3944	674
854	3950	670
855	3958	665
856	3962	661
857	3968	656
858	3971	651
859	3975	647
860	3982	642
861	3986	638
862	3991	633
863	3997	629
864	4002	624
865	4006	620
866	4011	615
867	4018	611
868	4023	606
869	4028	601
870	4034	597
871	4037	592
872	4041	587
873	4048	583
874	4053	579
875	4058	574
876	4064	570
877	4072	565
878	4080	561
879	4086	557
880	4096	553
881	4102	548
882	4106	544
883	4109	539
884	4115	534
885	4119	530
886	4124	525
887	4131	521
888	4136	516
889	4140	511
890	4145	507
891	4150	502
892	4155	497
893	4161	493
894	4168	489
895	4174	484
896	4181	480
897	4186	475
898	4192	470
899	4198	466
900	4202	461
901	4207	457
902	4212	452
903	4215	447
904	4219	442
905	4223	438
906	4229	433
907	4233	428
908	4239	424
909	4244	419
910	4247	415
911	4251	410
912	4255	405
913	4261	400
914	4268	396
915	4274	391
916	4279	387
917	4284	382
918	4288	377
919	4292	373
920	4297	368
921	4301	363
922	4308	359
923	4312	354
924	4316	350
925	4320	345
926	4324	340
927	4328	335
928	4334	331
929	4341	326
930	4346	322
931	4350	317
932	4354	312
933	4360	308
934	4367	303
935	4374	299
936	4379	294
937	4384	289
938	4390	285
939	4395	280
940	4400	275
941	4407	271
942	4414	266
943	4420	262
944	4426	257
945	4432	253
946	4440	248
947	4445	243
948	4450	239
949	4458	234
950	4463	229
951	4470	225
952	4475	220
953	4479	215
954	4485	211
955	4489	206
956	4495	201
957	4499	197
958	4503	192
959	4507	187
960	4510	183
961	4516	178
962	4520	173
963	4523	168
964	4528	164
965	4532	159
966	4538	154
967	4541	150
968	4545	145
969	4553	140
970	4560	136
971	4565	131
972	4570	126
973	4575	122
974	4583	117
975	4587	112
976	4592	108
977	4595	103
978	4600	98
979	4605	93
980	4610	89
981	4617	84
982	4622	79
983	4627	75
984	4631	70
985	4636	65
986	4640	61
987	4644	56
988	4650	51
989	4658	47
990	4665	42
991	4669	37
992	4676	32
993	4682	28
994	4686	23
995	4689	18
996	4695	14
997	4700	9
998	4705	4
999	4709	0
