iter	RMSE
296	63.37317079
297	63.29250499
298	63.18289973
299	63.13186067
300	63.04593833
301	62.99865782
302	62.9273697
303	62.88165982
304	62.81375052
305	62.75370292
306	62.69640935
307	62.606579
308	62.55681608
309	62.47924237
310	62.43278468
311	62.36683639
312	62.28958282
313	62.24270911
314	62.20188401
315	62.16394402
316	62.11366395
317	62.05223608
318	61.99211508
319	61.94243887
320	61.88446733
321	61.80149884
322	61.75564425
323	61.660236
324	61.59421312
325	61.55258091
326	61.49108066
327	61.43907999
328	61.36887569
329	61.31265809
330	61.24770197
331	61.1466607
332	61.08818554
333	61.03661891
334	60.96081704
335	60.89973725
336	60.83774827
337	60.78867582
338	60.73382503
339	60.69463934
340	60.66352989
341	60.61052574
342	60.53996892
343	60.48286007
344	60.42781215
345	60.37512181
346	60.32780587
347	60.28858109
348	60.23255696
349	60.18406747
350	60.14238631
351	60.0933494
352	60.01178517
353	59.9506612
354	59.89865106
355	59.84321014
356	59.77579063
357	59.73491296
358	59.68095418
359	59.60937306
360	59.55725691
361	59.51698596
362	59.46205465
363	59.41761987
364	59.36167731
365	59.30747019
366	59.25368825
367	59.21838652
368	59.14537254
369	59.11718568
370	59.0650555
371	58.99320079
372	58.94191281
373	58.89541285
374	58.84845221
375	58.81185697
376	58.76860254
377	58.71812754
378	58.66471219
379	58.62910684
380	58.58872884
381	58.5022097
382	58.44800483
383	58.39153677
384	58.34030113
385	58.29923289
386	58.2560452
387	58.21001021
388	58.17210005
389	58.09695351
390	58.05016739
391	58.00175709
392	57.95323771
393	57.9236313
394	57.87065763
395	57.82059673
396	57.76672286
397	57.73470697
398	57.69373691
399	57.63772054
400	57.60561746
401	57.56942463
402	57.52978029
403	57.46959426
404	57.43540365
405	57.39259891
406	57.3624242
407	57.32089228
408	57.2674909
409	57.20296236
410	57.15942007
411	57.09354024
412	57.05636316
413	57.01593624
414	56.97526801
415	56.93261444
416	56.8948056
417	56.84941745
418	56.79898824
419	56.75444749
420	56.68679108
421	56.62453648
422	56.56507735
423	56.51613625
424	56.47211005
425	56.42060998
426	56.38701196
427	56.34863402
428	56.30274462
429	56.2485413
430	56.21598502
431	56.17391657
432	56.13931455
433	56.09715322
434	56.05943345
435	56.02503666
436	55.98668723
437	55.94276302
438	55.8619625
439	55.823674
440	55.77711858
441	55.7153693
442	55.65407514
443	55.61716209
444	55.58452161
445	55.55063492
446	55.51083203
447	55.47925919
448	55.43563595
449	55.38276863
450	55.33311436
451	55.30158445
452	55.26447446
453	55.22094709
454	55.19138594
455	55.15266978
456	55.11605565
457	55.06351903
458	55.02971926
459	55.00480698
460	54.97537515
461	54.94011877
462	54.91443086
463	54.84982277
464	54.80461857
465	54.76592335
466	54.72622771
467	54.67845651
468	54.63572168
469	54.60664493
470	54.56695095
471	54.52652657
472	54.49370954
473	54.461333
474	54.42623557
475	54.3702143
476	54.32740558
477	54.30218109
478	54.26552816
479	54.23592758
480	54.20094661
481	54.16755264
482	54.11026261
483	54.05584081
484	54.00065315
485	53.97458454
486	53.93728191
487	53.90214811
488	53.8719648
489	53.83556398
490	53.8062008
491	53.75793377
492	53.72722453
493	53.68318057
494	53.64357743
495	53.58294399
496	53.54877111
497	53.51361713
498	53.4645586
499	53.42793965
500	53.39273519
501	53.36104604
502	53.31970367
503	53.29173808
504	53.24336839
505	53.21358784
506	53.18767782
507	53.14800609
508	53.11467584
509	53.06219184
510	53.04160132
511	53.00011449
512	52.96339647
513	52.92447405
514	52.87335577
515	52.83850847
516	52.80221469
517	52.77811496
518	52.73998387
519	52.68810948
520	52.65315147
521	52.61498609
522	52.58803308
523	52.54656783
524	52.50755533
525	52.47388768
526	52.42127125
527	52.39921776
528	52.36224369
529	52.3210139
530	52.29725691
531	52.25866669
532	52.21410683
533	52.18867733
534	52.15228376
535	52.121747
536	52.07602383
537	52.0426572
538	52.01579373
539	51.98550494
540	51.95963208
541	51.92479929
542	51.89596847
543	51.86605433
544	51.83148353
545	51.78999558
546	51.75899153
547	51.74049592
548	51.71695315
549	51.68249652
550	51.64450871
551	51.59235634
552	51.5613742
553	51.53577779
554	51.50835979
555	51.4723435
556	51.44394503
557	51.41732268
558	51.39545638
559	51.37628915
560	51.34343549
561	51.30403221
562	51.27977752
563	51.25427066
564	51.22708423
565	51.19272039
566	51.17259833
567	51.15381841
568	51.12656329
569	51.0906669
570	51.04768697
571	51.023
572	50.97775082
573	50.95337986
574	50.92400681
575	50.89877832
576	50.85202053
577	50.81408538
578	50.78902952
579	50.76973021
580	50.74352996
581	50.71873393
582	50.68790629
583	50.64750736
584	50.61184246
585	50.58564981
586	50.55439555
587	50.51424264
588	50.47297893
589	50.43726281
590	50.39416983
591	50.36606684
592	50.33914228
593	50.30741972
594	50.28848688
595	50.25448287
596	50.22408769
597	50.19202913
598	50.15533051
599	50.11111908
600	50.07786251
601	50.04358357
602	50.02361144
603	49.99057642
604	49.96980475
605	49.9533287
606	49.92650548
607	49.89859834
608	49.86915919
609	49.85273647
610	49.82552707
611	49.78756578
612	49.75526256
613	49.72790623
614	49.70540514
615	49.6781102
616	49.65638022
617	49.62464751
618	49.59862931
619	49.57694516
620	49.54821124
621	49.52790883
622	49.51769248
623	49.48399423
624	49.4594851
625	49.43922946
626	49.41714728
627	49.38799244
628	49.36990944
629	49.33937798
630	49.31218446
631	49.27897411
632	49.25463746
633	49.22638482
634	49.19605143
635	49.1742143
636	49.15246568
637	49.12813305
638	49.1079912
639	49.07147442
640	49.0430291
641	49.02055706
642	49.00262964
643	48.9629898
644	48.93727307
645	48.90697528
646	48.88283527
647	48.8616437
648	48.84161445
649	48.81751245
650	48.7917303
651	48.77070652
652	48.74863651
653	48.71685088
654	48.69086815
655	48.65540334
656	48.63292882
657	48.60680728
658	48.58000279
659	48.55130103
660	48.5355119
661	48.49221361
662	48.47893781
663	48.45695142
664	48.43745491
665	48.41385407
666	48.3803497
667	48.35676056
668	48.32607082
669	48.30306057
670	48.27512337
671	48.2500082
672	48.22459418
673	48.20273292
674	48.17953217
675	48.14432869
676	48.12955106
677	48.09610744
678	48.07909768
679	48.05832491
680	48.03846516
681	48.01737383
682	47.98595214
683	47.95939905
684	47.93800576
685	47.90635849
686	47.88815808
687	47.86669023
688	47.83475204
689	47.81959292
690	47.80060153
691	47.78744458
692	47.76145551
693	47.74277814
694	47.71075787
695	47.69354585
696	47.66654803
697	47.64077504
698	47.62611561
699	47.60541447
700	47.5650394
701	47.53891981
702	47.50240601
703	47.47412163
704	47.45131723
705	47.42220306
706	47.39438704
707	47.38548576
708	47.36172985
709	47.34072753
710	47.32883512
711	47.30887277
712	47.28519338
713	47.25781147
714	47.24209298
715	47.21719884
716	47.20322769
717	47.18692425
718	47.15943663
719	47.14040071
720	47.11377949
721	47.09878454
722	47.07870771
723	47.06169434
724	47.03960517
725	47.01957379
726	47.00091285
727	46.97699875
728	46.95213961
729	46.93498804
730	46.91223556
731	46.89535125
732	46.87286017
733	46.84859948
734	46.83100465
735	46.82036334
736	46.80268203
737	46.78902017
738	46.76845117
739	46.74985196
740	46.72506394
741	46.70893208
742	46.68844113
743	46.66068972
744	46.63603864
745	46.61542601
746	46.58495642
747	46.56997361
748	46.53042592
749	46.49663114
750	46.47717451
751	46.45120764
752	46.43427052
753	46.41612966
754	46.39690002
755	46.37499839
756	46.35345344
757	46.33710164
758	46.32141111
759	46.30394236
760	46.28798337
761	46.27829529
762	46.26068785
763	46.24197742
764	46.23418392
765	46.20308881
766	46.19004685
767	46.17277739
768	46.14122505
769	46.12343536
770	46.11237755
771	46.09496995
772	46.07875886
773	46.05738134
774	46.02584707
775	46.0046335
776	45.98920351
777	45.96520067
778	45.94808805
779	45.93220912
780	45.92169788
781	45.90780653
782	45.89626236
783	45.88101736
784	45.84673524
785	45.82622494
786	45.80073968
787	45.77393619
788	45.75768112
789	45.7305872
790	45.7041957
791	45.69067183
792	45.67198173
793	45.6544672
794	45.63045092
795	45.60475143
796	45.58545113
797	45.56572249
798	45.54139494
799	45.52446631
800	45.51080783
801	45.49156023
802	45.479207
803	45.46744683
804	45.45344684
805	45.43410561
806	45.4219544
807	45.41550737
808	45.40562983
809	45.38317531
810	45.35835928
811	45.34253024
812	45.32780324
813	45.30433408
814	45.28772812
815	45.2724785
816	45.25037787
817	45.22619829
818	45.21147143
819	45.19513652
820	45.17738499
821	45.152178
822	45.13645869
823	45.11919182
824	45.09297672
825	45.06607235
826	45.05086765
827	45.03541192
828	45.02522401
829	44.99622931
830	44.98056083
831	44.96735164
832	44.95858162
833	44.93723557
834	44.92218398
835	44.90106215
836	44.88829009
837	44.86491325
838	44.85229881
839	44.8389103
840	44.81868431
841	44.7992411
842	44.78130468
843	44.74788739
844	44.73309933
845	44.71909924
846	44.70812149
847	44.69008117
848	44.67241134
849	44.65458845
850	44.64216812
851	44.62440753
852	44.60947977
853	44.59806674
854	44.58399788
855	44.57307053
856	44.55547972
857	44.5400832
858	44.5261576
859	44.51075076
860	44.4854376
861	44.47487708
862	44.46344915
863	44.43598902
864	44.41915723
865	44.40199041
866	44.38988478
867	44.38227903
868	44.35048089
869	44.33817105
870	44.31581521
871	44.29899986
872	44.27358808
873	44.25834304
874	44.23377232
875	44.21573773
876	44.20260598
877	44.17263653
878	44.15415057
879	44.13905353
880	44.12668969
881	44.10811056
882	44.09420703
883	44.07964813
884	44.06501923
885	44.05387861
886	44.04174343
887	44.03029901
888	44.00782602
889	43.99090655
890	43.97830548
891	43.96135449
892	43.94718829
893	43.92492538
894	43.90599975
895	43.88355454
896	43.87079683
897	43.85544112
898	43.84675034
899	43.82957466
900	43.81421007
901	43.79338927
902	43.78037028
903	43.76932347
904	43.75781764
905	43.73307195
906	43.71053166
907	43.70013203
908	43.6825294
909	43.66809603
910	43.6332974
911	43.61750677
912	43.60398652
913	43.58972762
914	43.57352587
915	43.56201351
916	43.54952059
917	43.53614922
918	43.5238376
919	43.51428857
920	43.49814614
921	43.48574167
922	43.45795815
923	43.44633094
924	43.42017503
925	43.4081325
926	43.38430059
927	43.37302286
928	43.36065849
929	43.3489643
930	43.33326608
931	43.30855983
932	43.28529057
933	43.27494753
934	43.25540787
935	43.24122111
936	43.22621988
937	43.20668233
938	43.1963588
939	43.18375146
940	43.15492909
941	43.13307713
942	43.12026487
943	43.11119052
944	43.0995464
945	43.08838142
946	43.07299192
947	43.05951639
948	43.03919767
949	43.02272326
950	43.00605737
951	42.9950482
952	42.98071888
953	42.96728185
954	42.95140396
955	42.93855885
956	42.92204228
957	42.90957867
958	42.89095959
959	42.87736012
960	42.86183423
961	42.84781278
962	42.8365515
963	42.81969719
964	42.80065396
965	42.78051424
966	42.76127689
967	42.75218962
968	42.74002746
969	42.72244561
970	42.69945115
971	42.68691957
972	42.66671974
973	42.65465359
974	42.64313814
975	42.62850121
976	42.61636901
977	42.59867142
978	42.58677297
979	42.57593705
980	42.56125791
981	42.54537985
982	42.51868798
983	42.51210031
984	42.49634898
985	42.48420528
986	42.4717686
987	42.45739794
988	42.44626711
989	42.43550526
990	42.4194731
991	42.39900762
992	42.38616258
993	42.37115926
994	42.35940841
995	42.34031123
996	42.32629565
997	42.31059822
998	42.29867536
999	42.28090865
